"idBank";"Dernière mise à jour";"Nature";"Périodicité";"Unité";"Puissance";"Zone géographique";"Correction";"Indicateur"
"001515843";"20/06/2024 12:00";"Proportion";"Trimestrielle";"%";"0";"Île-de-France";"Corrigé des variations saisonnières";"Taux de chômage localisé"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
